title,description,label,label_num
Bluepeak Motors faces regulatory scrutiny over pricing practices,"Bluepeak Motors faces regulatory scrutiny over pricing practices, according to a statement released to investors this week.",Business,2
Egypt: The foreign minister sends humanitarian aid after devastating floods,Egypt the foreign minister sends humanitarian aid after devastating floods as officials react to unfolding developments across the region.,World,0
the United Strikers announces star player's return after injury,"In the tennis grand slam, the united strikers announces star player's return after injury, drawing reaction from fans and analysts alike.",Sports,1
Nigeria: The ruling party expands military cooperation with allied states,Nigeria the ruling party expands military cooperation with allied states as officials react to unfolding developments across the region.,World,0
France: The prime minister imposes new sanctions amid diplomatic tensions,France the prime minister imposes new sanctions amid diplomatic tensions as officials react to unfolding developments across the region.,World,0
Scientists unveil new chip design promising faster processing speeds,"Scientists unveil new chip design promising faster processing speeds, in a development described as significant by the field.",Sci/Tech,3
An artificial intelligence firm release open-source tool for analyzing genetic data,"An artificial intelligence firm release open-source tool for analyzing genetic data, in a development described as significant by the field.",Sci/Tech,3
Space agency officials develop breakthrough battery technology for electric vehicles,"Space agency officials develop breakthrough battery technology for electric vehicles, in a development described as significant by the field.",Sci/Tech,3
the Falcons secures qualification for next season's league,"In the marathon organizing committee, the falcons secures qualification for next season's league, drawing reaction from fans and analysts alike.",Sports,1
the City Wolves suffers unexpected defeat in opening round,"In the tennis grand slam, the city wolves suffers unexpected defeat in opening round, drawing reaction from fans and analysts alike.",Sports,1
Turkey: The defense secretary announces new trade agreement with neighboring nations,Turkey the defense secretary announces new trade agreement with neighboring nations as officials react to unfolding developments across the region.,World,0
the Metro Lions secures qualification for next season's league,"In the regional basketball association, the metro lions secures qualification for next season's league, drawing reaction from fans and analysts alike.",Sports,1
Japan: Parliament signs peace accord after months of negotiation,Japan parliament signs peace accord after months of negotiation as officials react to unfolding developments across the region.,World,0
Canada: The un envoy reaches ceasefire agreement in long-running conflict,Canada the UN envoy reaches ceasefire agreement in long-running conflict as officials react to unfolding developments across the region.,World,0
the National Eagles clinches dramatic victory in final minutes,"In the tennis grand slam, the national eagles clinches dramatic victory in final minutes, drawing reaction from fans and analysts alike.",Sports,1
Space agency officials unveil new chip design promising faster processing speeds,"Space agency officials unveil new chip design promising faster processing speeds, in a development described as significant by the field.",Sci/Tech,3
Dynatech Systems shares plunge following disappointing sales figures,"Dynatech Systems shares plunge following disappointing sales figures, according to a statement released to investors this week.",Business,2
Pinecrest Industries shares plunge following disappointing sales figures,"Pinecrest Industries shares plunge following disappointing sales figures, according to a statement released to investors this week.",Business,2
Japan: Opposition leaders calls for emergency session following regional unrest,Japan opposition leaders calls for emergency session following regional unrest as officials react to unfolding developments across the region.,World,0
the Riverside Warriors extends winning streak to ten consecutive matches,"In the regional basketball association, the riverside warriors extends winning streak to ten consecutive matches, drawing reaction from fans and analysts alike.",Sports,1
Nigeria: The ruling party signs peace accord after months of negotiation,Nigeria the ruling party signs peace accord after months of negotiation as officials react to unfolding developments across the region.,World,0
Silverline Bank raises interest rate outlook amid inflation concerns,"Silverline Bank raises interest rate outlook amid inflation concerns, according to a statement released to investors this week.",Business,2
Engineers at a leading lab announce partnership to build next-generation data centers,"Engineers at a leading lab announce partnership to build next-generation data centers, in a development described as significant by the field.",Sci/Tech,3
the Metro Lions sets new record at this year's tournament,"In the world championship, the metro lions sets new record at this year's tournament, drawing reaction from fans and analysts alike.",Sports,1
Researchers demonstrate prototype capable of autonomous navigation,"Researchers demonstrate prototype capable of autonomous navigation, in a development described as significant by the field.",Sci/Tech,3
Space agency officials develop breakthrough battery technology for electric vehicles,"Space agency officials develop breakthrough battery technology for electric vehicles, in a development described as significant by the field.",Sci/Tech,3
France: The prime minister faces criticism over handling of refugee crisis,France the prime minister faces criticism over handling of refugee crisis as officials react to unfolding developments across the region.,World,0
Spain: The foreign minister hosts international summit on climate cooperation,Spain the foreign minister hosts international summit on climate cooperation as officials react to unfolding developments across the region.,World,0
An artificial intelligence firm release open-source tool for analyzing genetic data,"An artificial intelligence firm release open-source tool for analyzing genetic data, in a development described as significant by the field.",Sci/Tech,3
Cascade Retailers unveils plans for major expansion overseas,"Cascade Retailers unveils plans for major expansion overseas, according to a statement released to investors this week.",Business,2
South Korea: The ruling party imposes new sanctions amid diplomatic tensions,South Korea the ruling party imposes new sanctions amid diplomatic tensions as officials react to unfolding developments across the region.,World,0
the City Wolves extends winning streak to ten consecutive matches,"In the world championship, the city wolves extends winning streak to ten consecutive matches, drawing reaction from fans and analysts alike.",Sports,1
An artificial intelligence firm reveal advances in machine learning for language translation,"An artificial intelligence firm reveal advances in machine learning for language translation, in a development described as significant by the field.",Sci/Tech,3
Spain: The prime minister imposes new sanctions amid diplomatic tensions,Spain the prime minister imposes new sanctions amid diplomatic tensions as officials react to unfolding developments across the region.,World,0
the Falcons extends winning streak to ten consecutive matches,"In the tennis grand slam, the falcons extends winning streak to ten consecutive matches, drawing reaction from fans and analysts alike.",Sports,1
Harborview Airlines announces merger with rival firm worth billions,"Harborview Airlines announces merger with rival firm worth billions, according to a statement released to investors this week.",Business,2
Vertex Energy Corp signs multi-year supply deal with key partner,"Vertex Energy Corp signs multi-year supply deal with key partner, according to a statement released to investors this week.",Business,2
Silverline Bank raises interest rate outlook amid inflation concerns,"Silverline Bank raises interest rate outlook amid inflation concerns, according to a statement released to investors this week.",Business,2
Engineers at a leading lab reveal advances in machine learning for language translation,"Engineers at a leading lab reveal advances in machine learning for language translation, in a development described as significant by the field.",Sci/Tech,3
Australia: The president hosts international summit on climate cooperation,Australia the president hosts international summit on climate cooperation as officials react to unfolding developments across the region.,World,0
the Falcons names new head coach ahead of upcoming season,"In the regional basketball association, the falcons names new head coach ahead of upcoming season, drawing reaction from fans and analysts alike.",Sports,1
Cascade Retailers announces merger with rival firm worth billions,"Cascade Retailers announces merger with rival firm worth billions, according to a statement released to investors this week.",Business,2
Italy: The foreign minister hosts international summit on climate cooperation,Italy the foreign minister hosts international summit on climate cooperation as officials react to unfolding developments across the region.,World,0
Turkey: The un envoy faces growing pressure over border security policy,Turkey the UN envoy faces growing pressure over border security policy as officials react to unfolding developments across the region.,World,0
Nexora Technologies launches new product line targeting younger consumers,"Nexora Technologies launches new product line targeting younger consumers, according to a statement released to investors this week.",Business,2
Germany: Parliament reaches ceasefire agreement in long-running conflict,Germany parliament reaches ceasefire agreement in long-running conflict as officials react to unfolding developments across the region.,World,0
Orbit Financial Group cuts thousands of jobs amid restructuring plan,"Orbit Financial Group cuts thousands of jobs amid restructuring plan, according to a statement released to investors this week.",Business,2
Harborview Airlines cuts thousands of jobs amid restructuring plan,"Harborview Airlines cuts thousands of jobs amid restructuring plan, according to a statement released to investors this week.",Business,2
Engineers at a leading lab publish study on new method for detecting diseases early,"Engineers at a leading lab publish study on new method for detecting diseases early, in a development described as significant by the field.",Sci/Tech,3
the United Strikers sets new record at this year's tournament,"In the world championship, the united strikers sets new record at this year's tournament, drawing reaction from fans and analysts alike.",Sports,1
Orbit Financial Group signs multi-year supply deal with key partner,"Orbit Financial Group signs multi-year supply deal with key partner, according to a statement released to investors this week.",Business,2
the Coastal Sharks secures qualification for next season's league,"In the cricket board, the coastal sharks secures qualification for next season's league, drawing reaction from fans and analysts alike.",Sports,1
A team of developers test new material that could improve solar panel efficiency,"A team of developers test new material that could improve solar panel efficiency, in a development described as significant by the field.",Sci/Tech,3
the Falcons sets new record at this year's tournament,"In the cricket board, the falcons sets new record at this year's tournament, drawing reaction from fans and analysts alike.",Sports,1
India: The president hosts international summit on climate cooperation,India the president hosts international summit on climate cooperation as officials react to unfolding developments across the region.,World,0
A university research group unveil new chip design promising faster processing speeds,"A university research group unveil new chip design promising faster processing speeds, in a development described as significant by the field.",Sci/Tech,3
Space agency officials publish study on new method for detecting diseases early,"Space agency officials publish study on new method for detecting diseases early, in a development described as significant by the field.",Sci/Tech,3
the Falcons announces star player's return after injury,"In the regional basketball association, the falcons announces star player's return after injury, drawing reaction from fans and analysts alike.",Sports,1
Bluepeak Motors shares plunge following disappointing sales figures,"Bluepeak Motors shares plunge following disappointing sales figures, according to a statement released to investors this week.",Business,2
Italy: The foreign minister expands military cooperation with allied states,Italy the foreign minister expands military cooperation with allied states as officials react to unfolding developments across the region.,World,0
A university research group warn of security flaw affecting millions of devices,"A university research group warn of security flaw affecting millions of devices, in a development described as significant by the field.",Sci/Tech,3
the Coastal Sharks wins gold medal in stunning comeback performance,"In the world championship, the coastal sharks wins gold medal in stunning comeback performance, drawing reaction from fans and analysts alike.",Sports,1
Japan: The defense secretary faces growing pressure over border security policy,Japan the defense secretary faces growing pressure over border security policy as officials react to unfolding developments across the region.,World,0
An artificial intelligence firm announce partnership to build next-generation data centers,"An artificial intelligence firm announce partnership to build next-generation data centers, in a development described as significant by the field.",Sci/Tech,3
the National Eagles secures qualification for next season's league,"In the national football league, the national eagles secures qualification for next season's league, drawing reaction from fans and analysts alike.",Sports,1
the United Strikers secures qualification for next season's league,"In the rugby union, the united strikers secures qualification for next season's league, drawing reaction from fans and analysts alike.",Sports,1
Nexora Technologies raises interest rate outlook amid inflation concerns,"Nexora Technologies raises interest rate outlook amid inflation concerns, according to a statement released to investors this week.",Business,2
Germany: The prime minister signs peace accord after months of negotiation,Germany the prime minister signs peace accord after months of negotiation as officials react to unfolding developments across the region.,World,0
Harborview Airlines announces merger with rival firm worth billions,"Harborview Airlines announces merger with rival firm worth billions, according to a statement released to investors this week.",Business,2
Brazil: The ruling party expands military cooperation with allied states,Brazil the ruling party expands military cooperation with allied states as officials react to unfolding developments across the region.,World,0
Kenya: The defense secretary faces criticism over handling of refugee crisis,Kenya the defense secretary faces criticism over handling of refugee crisis as officials react to unfolding developments across the region.,World,0
A robotics startup warn of security flaw affecting millions of devices,"A robotics startup warn of security flaw affecting millions of devices, in a development described as significant by the field.",Sci/Tech,3
Space agency officials unveil new chip design promising faster processing speeds,"Space agency officials unveil new chip design promising faster processing speeds, in a development described as significant by the field.",Sci/Tech,3
An artificial intelligence firm develop breakthrough battery technology for electric vehicles,"An artificial intelligence firm develop breakthrough battery technology for electric vehicles, in a development described as significant by the field.",Sci/Tech,3
the City Wolves clinches dramatic victory in final minutes,"In the tennis grand slam, the city wolves clinches dramatic victory in final minutes, drawing reaction from fans and analysts alike.",Sports,1
the City Wolves clinches dramatic victory in final minutes,"In the rugby union, the city wolves clinches dramatic victory in final minutes, drawing reaction from fans and analysts alike.",Sports,1
the Falcons wins gold medal in stunning comeback performance,"In the cricket board, the falcons wins gold medal in stunning comeback performance, drawing reaction from fans and analysts alike.",Sports,1
Bluepeak Motors cuts thousands of jobs amid restructuring plan,"Bluepeak Motors cuts thousands of jobs amid restructuring plan, according to a statement released to investors this week.",Business,2
Nigeria: The ruling party faces criticism over handling of refugee crisis,Nigeria the ruling party faces criticism over handling of refugee crisis as officials react to unfolding developments across the region.,World,0
Italy: The president announces new trade agreement with neighboring nations,Italy the president announces new trade agreement with neighboring nations as officials react to unfolding developments across the region.,World,0
Meridian Foods shares plunge following disappointing sales figures,"Meridian Foods shares plunge following disappointing sales figures, according to a statement released to investors this week.",Business,2
India: The president faces growing pressure over border security policy,India the president faces growing pressure over border security policy as officials react to unfolding developments across the region.,World,0
A robotics startup announce partnership to build next-generation data centers,"A robotics startup announce partnership to build next-generation data centers, in a development described as significant by the field.",Sci/Tech,3
Nexora Technologies reports stronger than expected quarterly earnings,"Nexora Technologies reports stronger than expected quarterly earnings, according to a statement released to investors this week.",Business,2
India: The foreign minister imposes new sanctions amid diplomatic tensions,India the foreign minister imposes new sanctions amid diplomatic tensions as officials react to unfolding developments across the region.,World,0
Nexora Technologies unveils plans for major expansion overseas,"Nexora Technologies unveils plans for major expansion overseas, according to a statement released to investors this week.",Business,2
Engineers at a leading lab publish study on new method for detecting diseases early,"Engineers at a leading lab publish study on new method for detecting diseases early, in a development described as significant by the field.",Sci/Tech,3
Harborview Airlines faces regulatory scrutiny over pricing practices,"Harborview Airlines faces regulatory scrutiny over pricing practices, according to a statement released to investors this week.",Business,2
Italy: The prime minister expands military cooperation with allied states,Italy the prime minister expands military cooperation with allied states as officials react to unfolding developments across the region.,World,0
A university research group launch satellite mission to study distant galaxies,"A university research group launch satellite mission to study distant galaxies, in a development described as significant by the field.",Sci/Tech,3
Orbit Financial Group shares surge after positive investor forecast,"Orbit Financial Group shares surge after positive investor forecast, according to a statement released to investors this week.",Business,2
the Riverside Warriors secures qualification for next season's league,"In the national football league, the riverside warriors secures qualification for next season's league, drawing reaction from fans and analysts alike.",Sports,1
Space agency officials demonstrate prototype capable of autonomous navigation,"Space agency officials demonstrate prototype capable of autonomous navigation, in a development described as significant by the field.",Sci/Tech,3
the Falcons names new head coach ahead of upcoming season,"In the rugby union, the falcons names new head coach ahead of upcoming season, drawing reaction from fans and analysts alike.",Sports,1
A university research group develop breakthrough battery technology for electric vehicles,"A university research group develop breakthrough battery technology for electric vehicles, in a development described as significant by the field.",Sci/Tech,3
A team of developers publish study on new method for detecting diseases early,"A team of developers publish study on new method for detecting diseases early, in a development described as significant by the field.",Sci/Tech,3
the Falcons names new head coach ahead of upcoming season,"In the Olympic committee, the falcons names new head coach ahead of upcoming season, drawing reaction from fans and analysts alike.",Sports,1
A university research group release open-source tool for analyzing genetic data,"A university research group release open-source tool for analyzing genetic data, in a development described as significant by the field.",Sci/Tech,3
Germany: Opposition leaders signs peace accord after months of negotiation,Germany opposition leaders signs peace accord after months of negotiation as officials react to unfolding developments across the region.,World,0
An artificial intelligence firm develop breakthrough battery technology for electric vehicles,"An artificial intelligence firm develop breakthrough battery technology for electric vehicles, in a development described as significant by the field.",Sci/Tech,3
Scientists demonstrate prototype capable of autonomous navigation,"Scientists demonstrate prototype capable of autonomous navigation, in a development described as significant by the field.",Sci/Tech,3
Kenya: The prime minister faces criticism over handling of refugee crisis,Kenya the prime minister faces criticism over handling of refugee crisis as officials react to unfolding developments across the region.,World,0
Meridian Foods announces merger with rival firm worth billions,"Meridian Foods announces merger with rival firm worth billions, according to a statement released to investors this week.",Business,2
Germany: Opposition leaders faces growing pressure over border security policy,Germany opposition leaders faces growing pressure over border security policy as officials react to unfolding developments across the region.,World,0
Orbit Financial Group raises interest rate outlook amid inflation concerns,"Orbit Financial Group raises interest rate outlook amid inflation concerns, according to a statement released to investors this week.",Business,2
Germany: The defense secretary signs peace accord after months of negotiation,Germany the defense secretary signs peace accord after months of negotiation as officials react to unfolding developments across the region.,World,0
Bluepeak Motors signs multi-year supply deal with key partner,"Bluepeak Motors signs multi-year supply deal with key partner, according to a statement released to investors this week.",Business,2
A university research group test new material that could improve solar panel efficiency,"A university research group test new material that could improve solar panel efficiency, in a development described as significant by the field.",Sci/Tech,3
A team of developers announce partnership to build next-generation data centers,"A team of developers announce partnership to build next-generation data centers, in a development described as significant by the field.",Sci/Tech,3
An artificial intelligence firm announce partnership to build next-generation data centers,"An artificial intelligence firm announce partnership to build next-generation data centers, in a development described as significant by the field.",Sci/Tech,3
the Metro Lions faces suspension following controversial match incident,"In the rugby union, the metro lions faces suspension following controversial match incident, drawing reaction from fans and analysts alike.",Sports,1
the City Wolves advances to the championship after extra-time win,"In the Olympic committee, the city wolves advances to the championship after extra-time win, drawing reaction from fans and analysts alike.",Sports,1
the Highland Bears suffers unexpected defeat in opening round,"In the regional basketball association, the highland bears suffers unexpected defeat in opening round, drawing reaction from fans and analysts alike.",Sports,1
the United Strikers clinches dramatic victory in final minutes,"In the regional basketball association, the united strikers clinches dramatic victory in final minutes, drawing reaction from fans and analysts alike.",Sports,1
the Falcons suffers unexpected defeat in opening round,"In the Olympic committee, the falcons suffers unexpected defeat in opening round, drawing reaction from fans and analysts alike.",Sports,1
Orbit Financial Group announces merger with rival firm worth billions,"Orbit Financial Group announces merger with rival firm worth billions, according to a statement released to investors this week.",Business,2
Engineers at a leading lab test new material that could improve solar panel efficiency,"Engineers at a leading lab test new material that could improve solar panel efficiency, in a development described as significant by the field.",Sci/Tech,3
Meridian Foods launches new product line targeting younger consumers,"Meridian Foods launches new product line targeting younger consumers, according to a statement released to investors this week.",Business,2
the City Wolves secures qualification for next season's league,"In the cricket board, the city wolves secures qualification for next season's league, drawing reaction from fans and analysts alike.",Sports,1
Kenya: Opposition leaders signs peace accord after months of negotiation,Kenya opposition leaders signs peace accord after months of negotiation as officials react to unfolding developments across the region.,World,0
Engineers at a leading lab reveal advances in machine learning for language translation,"Engineers at a leading lab reveal advances in machine learning for language translation, in a development described as significant by the field.",Sci/Tech,3
A robotics startup demonstrate prototype capable of autonomous navigation,"A robotics startup demonstrate prototype capable of autonomous navigation, in a development described as significant by the field.",Sci/Tech,3
An artificial intelligence firm announce partnership to build next-generation data centers,"An artificial intelligence firm announce partnership to build next-generation data centers, in a development described as significant by the field.",Sci/Tech,3
Researchers announce partnership to build next-generation data centers,"Researchers announce partnership to build next-generation data centers, in a development described as significant by the field.",Sci/Tech,3
Space agency officials announce partnership to build next-generation data centers,"Space agency officials announce partnership to build next-generation data centers, in a development described as significant by the field.",Sci/Tech,3
Cascade Retailers signs multi-year supply deal with key partner,"Cascade Retailers signs multi-year supply deal with key partner, according to a statement released to investors this week.",Business,2
Vertex Energy Corp shares surge after positive investor forecast,"Vertex Energy Corp shares surge after positive investor forecast, according to a statement released to investors this week.",Business,2
the Highland Bears extends winning streak to ten consecutive matches,"In the Olympic committee, the highland bears extends winning streak to ten consecutive matches, drawing reaction from fans and analysts alike.",Sports,1
A team of developers launch satellite mission to study distant galaxies,"A team of developers launch satellite mission to study distant galaxies, in a development described as significant by the field.",Sci/Tech,3
Harborview Airlines announces merger with rival firm worth billions,"Harborview Airlines announces merger with rival firm worth billions, according to a statement released to investors this week.",Business,2
Japan: Parliament faces growing pressure over border security policy,Japan parliament faces growing pressure over border security policy as officials react to unfolding developments across the region.,World,0
Japan: Parliament calls for emergency session following regional unrest,Japan parliament calls for emergency session following regional unrest as officials react to unfolding developments across the region.,World,0
the Highland Bears names new head coach ahead of upcoming season,"In the Olympic committee, the highland bears names new head coach ahead of upcoming season, drawing reaction from fans and analysts alike.",Sports,1
Scientists warn of security flaw affecting millions of devices,"Scientists warn of security flaw affecting millions of devices, in a development described as significant by the field.",Sci/Tech,3
Turkey: The president faces growing pressure over border security policy,Turkey the president faces growing pressure over border security policy as officials react to unfolding developments across the region.,World,0
the Coastal Sharks extends winning streak to ten consecutive matches,"In the marathon organizing committee, the coastal sharks extends winning streak to ten consecutive matches, drawing reaction from fans and analysts alike.",Sports,1
Italy: The president signs peace accord after months of negotiation,Italy the president signs peace accord after months of negotiation as officials react to unfolding developments across the region.,World,0
Researchers test new material that could improve solar panel efficiency,"Researchers test new material that could improve solar panel efficiency, in a development described as significant by the field.",Sci/Tech,3
Orbit Financial Group announces merger with rival firm worth billions,"Orbit Financial Group announces merger with rival firm worth billions, according to a statement released to investors this week.",Business,2
Germany: The president faces growing pressure over border security policy,Germany the president faces growing pressure over border security policy as officials react to unfolding developments across the region.,World,0
Silverline Bank shares surge after positive investor forecast,"Silverline Bank shares surge after positive investor forecast, according to a statement released to investors this week.",Business,2
the Coastal Sharks extends winning streak to ten consecutive matches,"In the Olympic committee, the coastal sharks extends winning streak to ten consecutive matches, drawing reaction from fans and analysts alike.",Sports,1
Canada: The ruling party faces growing pressure over border security policy,Canada the ruling party faces growing pressure over border security policy as officials react to unfolding developments across the region.,World,0
A university research group develop breakthrough battery technology for electric vehicles,"A university research group develop breakthrough battery technology for electric vehicles, in a development described as significant by the field.",Sci/Tech,3
France: The president faces growing pressure over border security policy,France the president faces growing pressure over border security policy as officials react to unfolding developments across the region.,World,0
Scientists develop breakthrough battery technology for electric vehicles,"Scientists develop breakthrough battery technology for electric vehicles, in a development described as significant by the field.",Sci/Tech,3
